cat,before,live.cats,cond
2,0,0,0
1,0,0,1
30,0,0,1
25,0,0,1
17,0,0,0
50,0,0,1
25,0,1,1
6,0,1,0
25,0,0,1
17,0,0,1
12,1,0,1
5,0,1,0
20,0,0,1
25,0,1,1
30,0,1,1
10,0,0,1
32,0,0,1
45,0,0,1
1,0,0,0
5,0,0,0
16,0,1,0
2,0,0,0
24,0,0,1
30,0,0,1
7,0,1,0
5,0,0,0
7,0,0,0
4,0,0,0
30,0,0,1
6,0,1,0
15,0,1,0
20,1,1,1
1,0,1,0
7,0,0,0
5,0,1,0
8,0,0,0
4,0,0,0
15,0,1,1
35,0,1,1
5,0,0,1
5,0,0,0
10,0,1,1
25,0,0,1
2,0,0,0
50,0,1,1
50,0,0,1
30,0,0,1
50,0,0,1
3,0,0,1
5,0,0,0
15,0,0,1
25,0,0,1
15,0,0,0
10,,0,0
15,0,0,1
6,0,0,0
200,0,1,1
25,0,0,1
2,0,1,0
10,0,0,0
25,1,0,1
25,1,0,1
15,0,1,1
8,0,0,0
35,0,0,1
30,0,0,1
20,0,0,1
15,0,1,0
10,0,0,0
16,0,1,0
5,0,0,0
37,0,0,1
30,0,1,1
20,0,0,0
5,0,0,0
12,0,0,1
15,0,0,0
20,0,1,1
30,0,0,1
25,0,0,1
2,1,0,0
15,0,0,1
50,0,0,1
45,0,0,1
50,0,0,1
7,0,1,0
6,0,0,0
5,0,0,1
10,0,1,0
20,0,1,1
20,0,0,1
5,0,1,1
10,0,1,1
30,0,0,1
32,0,1,1
20,0,1,1
17,0,1,1
2,0,0,0
20,0,0,1
5,0,0,0
5,0,1,0
6,0,1,0
8,0,1,0
20,0,0,0
5,1,1,0
10,0,0,1
8,0,0,1
30,0,1,1
30,0,0,0
30,0,0,1
6,0,1,0
28,0,1,1
2,0,0,0
2,0,1,1
20,0,1,1
15,0,0,0
8,1,0,1
5,0,0,0
5,0,0,0
1,0,0,0
20,0,0,1
65,0,1,1
5,0,0,0
30,0,0,0
50,0,0,1
10,0,0,0
25,0,0,1
20,0,0,1
6,0,1,0
20,1,0,1
12,0,0,0
10,0,1,0
20,0,1,1
20,0,0,0
10,0,1,1
25,0,1,1
25,0,0,1
70,0,0,1
8,0,1,0
2,0,1,0
2,1,0,0
2,0,0,0
15,0,0,0
15,0,1,0
20,0,0,1
30,1,1,1
30,0,0,0
6,0,0,0
8,0,1,0
45,0,1,1
15,0,1,1
