vvweight,college,medicare_expand,repeal_aca,regulate_carbon,prefertrump
1.0414587,1,1,1,1,0
1.1493082,0,0,1,0,1
1.2636234,0,1,0,1,1
.91977116,0,0,1,0,1
.99911779,1,1,0,1,0
1.0163135,1,1,0,1,0
1.0364098,1,0,0,1,0
.48084567,0,1,0,1,0
.95084833,1,1,0,1,0
1.3217192,0,0,1,0,1
.93443194,1,0,1,0,1
2.6191895,1,0,1,0,1
.58547824,1,0,0,1,0
.55360735,1,1,0,1,0
.33759129,0,1,1,0,1
.51637514,0,1,0,1,0
.8811427,1,1,0,1,0
1.0749654,1,0,0,0,0
.68950121,0,1,1,1,0
.60678704,0,1,0,1,0
.76966039,0,1,1,0,1
1.0031073,0,0,1,0,1
.59225141,1,0,0,0,0
.72628835,1,1,0,1,0
.72499134,0,0,1,0,1
1.9251426,1,0,1,0,1
.75304937,0,1,0,1,0
.73405194,1,1,0,1,0
.98609285,0,0,1,1,1
1.5012179,1,0,0,1,0
.77813822,1,1,0,1,0
1.2184403,1,1,0,1,0
1.3165067,1,0,1,1,1
1.1181852,0,0,0,0,1
.75304937,1,1,0,1,0
1.2628373,1,0,1,0,1
1.0364098,1,1,0,1,0
1.0726402,1,1,0,1,0
.93329122,1,0,1,1,1
.5261083,1,1,1,1,0
.56614252,0,0,0,1,0
.24525341,1,1,0,1,0
.74093514,0,0,1,0,1
1.2065929,1,1,1,1,0
.51145661,1,0,1,0,1
1.9266612,1,0,1,0,1
.48176939,1,1,1,1,0
1.2349604,1,0,1,0,1
1.378293,0,0,1,0,1
1.4607008,1,1,0,1,0
1.468781,1,0,1,0,1
1.1718215,1,0,1,0,1
.40915754,1,1,0,1,0
.82813893,1,0,1,0,1
1.038249,0,0,1,1,1
.24804708,1,0,0,0,0
.45413333,1,0,0,1,0
.73011249,0,0,0,1,0
1.6025995,1,1,1,1,1
.58863972,1,0,1,1,1
.35050013,1,1,0,1,0
.9624209,0,0,1,0,1
.7956315,1,1,0,1,0
2.5507114,1,1,0,1,0
.75565492,0,1,0,1,0
1.1247965,1,0,1,0,1
.64067214,1,1,1,1,1
.77622264,0,0,0,1,0
.50939804,0,1,0,0,0
1.3896052,0,0,1,0,1
.94097501,0,1,0,1,0
.70918325,1,0,1,0,1
.75760588,1,1,0,1,0
.87182779,1,0,1,0,1
1.2323311,1,0,1,0,1
.58462257,1,0,1,0,1
.54113449,0,1,0,0,0
1.3732972,1,1,0,1,0
1.0030928,1,0,1,0,1
.89830239,1,1,0,1,0
1.0698521,0,1,0,1,1
1.0486426,0,1,0,1,0
.94394138,1,0,0,0,1
.80215765,0,1,0,1,0
.5729095,1,1,0,1,0
1.2234783,0,0,1,0,1
.76368056,1,1,0,1,0
.76836715,1,1,0,1,0
1.1029058,1,1,0,1,0
.83520024,1,0,0,1,0
1.7566065,0,0,1,0,1
.73281891,0,0,0,0,0
.74673509,1,1,0,1,0
.68501176,0,0,1,0,1
.48227735,1,1,0,1,0
.73115052,1,0,0,1,0
1.9187483,0,1,0,1,0
.8977137,0,0,1,0,1
1.6612329,1,0,1,0,1
.99117497,1,1,0,1,0
.41406825,1,1,0,1,0
1.0333975,1,1,0,1,0
1.3957798,0,0,1,0,1
.34140746,0,1,0,1,0
.60460914,1,1,0,1,0
1.7876295,0,0,1,0,1
.67062962,0,1,0,1,0
.86400927,1,1,0,1,0
1.8812822,1,0,1,0,1
1.0726072,1,1,0,1,0
.77180145,0,1,0,1,0
1.3850935,0,0,1,0,1
.50475508,1,1,0,1,0
1.2264341,0,0,1,0,1
1.0260776,0,1,0,0,0
.67098538,0,1,1,1,0
.8704863,0,0,1,1,1
.99667744,0,0,1,0,1
.66005278,1,1,0,1,0
.8479769,1,0,0,1,0
1.5250302,1,0,0,1,1
.89509702,1,1,0,0,0
.76824344,1,1,0,1,0
2.0625527,1,0,1,1,1
.71988242,1,1,0,1,0
1.2065929,1,1,0,1,0
.81199962,1,1,0,1,0
.63696157,1,0,0,1,0
1.2065929,1,0,0,1,0
.30215415,1,1,0,1,0
.57864206,1,1,0,1,0
.94468654,1,1,0,1,0
1.3850912,1,0,1,0,1
.81370128,1,1,0,1,0
.51008876,1,1,0,1,0
.50475508,1,1,0,1,0
1.9503607,1,1,0,1,0
1.0323238,1,1,0,1,0
.5810805,1,0,1,0,1
1.2349604,1,0,0,1,1
.72628835,0,0,0,1,0
.60925347,1,1,0,1,0
1.0311868,1,0,0,1,0
1.0013778,1,1,0,1,0
1.4292071,1,0,1,0,1
.28326488,1,1,0,1,0
.42453593,1,0,0,1,0
.80888834,1,0,0,1,0
.84653309,1,0,1,0,1
.81370128,1,1,0,1,0
.88018376,0,0,1,0,1
.66959504,1,1,1,1,0
.73115052,1,1,0,1,0
.768948,1,1,0,1,0
.48989447,1,0,0,1,0
1.8320098,1,0,1,0,1
.73606412,1,0,0,0,0
