Waistcm	wtKg	HTCm	gen	Waist	Height	Weight
71.5	65.6	174	1	28.15	68.5	144.65
79	71.8	175.3	1	31.1	69.02	158.32
83.2	80.7	193.5	1	32.76	76.18	177.94
77.8	72.6	186.5	1	30.63	73.43	160.08
80	78.8	187.2	1	31.5	73.7	173.75
82.5	74.8	181.5	1	32.48	71.46	164.93
82	86.4	184	1	32.28	72.44	190.51
76.8	78.4	184.5	1	30.24	72.64	172.87
68.5	62	175	1	26.97	68.9	136.71
77.5	81.6	184	1	30.51	72.44	179.93
81.9	76.6	180	1	32.24	70.87	168.9
82.6	83.6	177.8	1	32.52	70	184.34
85	90	192	1	33.46	75.59	198.45
85.6	74.6	176	1	33.7	69.29	164.49
78	71	174	1	30.71	68.5	156.56
82	79.6	184	1	32.28	72.44	175.52
88.3	93.8	192.7	1	34.76	75.87	206.83
73.6	70	171.5	1	28.98	67.52	154.35
78.5	72.4	173	1	30.91	68.11	159.64
87.3	85.9	176	1	34.37	69.29	189.41
92	78.8	176	1	36.22	69.29	173.75
80	77.8	180.5	1	31.5	71.06	171.55
74.5	66.2	172.7	1	29.33	67.99	145.97
90.6	86.4	176	1	35.67	69.29	190.51
81.4	81.8	173.5	1	32.05	68.31	180.37
89.5	89.6	178	1	35.24	70.08	197.57
85	82.8	180.3	1	33.46	70.98	182.57
73.5	76.4	180.3	1	28.94	70.98	168.46
75.8	63.2	164.5	1	29.84	64.76	139.36
74	60.9	173	1	29.13	68.11	134.28
77.5	74.8	183.5	1	30.51	72.24	164.93
74	70	175.5	1	29.13	69.09	154.35
74	72.4	188	1	29.13	74.02	159.64
82	84.1	189.2	1	32.28	74.49	185.44
73	69.1	172.8	1	28.74	68.03	152.37
70.5	59.5	170	1	27.76	66.93	131.2
75	67.2	182	1	29.53	71.65	148.18
72.1	61.3	170	1	28.39	66.93	135.17
78.8	68.6	177.8	1	31.02	70	151.26
77.5	80.1	184.2	1	30.51	72.52	176.62
91.5	87.8	186.7	1	36.02	73.5	193.6
84.9	84.7	171.4	1	33.43	67.48	186.76
79.1	73.4	172.7	1	31.14	67.99	161.85
77.9	72.1	175.3	1	30.67	69.02	158.98
91.7	82.6	180.3	1	36.1	70.98	182.13
86.6	88.7	182.9	1	34.09	72.01	195.58
84.7	84.1	188	1	33.35	74.02	185.44
90.3	94.1	177.2	1	35.55	69.76	207.49
79.7	74.9	172.1	1	31.38	67.76	165.15
73.1	59.1	167	1	28.78	65.75	130.32
79.8	75.6	169.5	1	31.42	66.73	166.7
81.6	86.2	174	1	32.13	68.5	190.07
76.8	75.3	172.7	1	30.24	67.99	166.04
85.9	87.1	182.2	1	33.82	71.73	192.06
73.3	55.2	164.1	1	28.86	64.61	121.72
69.9	57	163	1	27.52	64.17	125.69
72.7	61.4	171.5	1	28.62	67.52	135.39
82.7	76.8	184.2	1	32.56	72.52	169.34
90.1	86.8	174	1	35.47	68.5	191.39
82.9	72.2	174	1	32.64	68.5	159.2
77.9	71.6	177	1	30.67	69.69	157.88
92.5	84.8	186	1	36.42	73.23	186.98
77.8	68.2	167	1	30.63	65.75	150.38
72.7	66.1	171.8	1	28.62	67.64	145.75
75	72	182	1	29.53	71.65	158.76
76	64.6	167	1	29.92	65.75	142.44
82.7	74.8	177.8	1	32.56	70	164.93
80	70	164.5	1	31.5	64.76	154.35
107.1	101.6	192	1	42.17	75.59	224.03
76.2	63.2	175.5	1	30	69.09	139.36
90.2	79.1	171.2	1	35.51	67.4	174.42
89.4	78.9	181.6	1	35.2	71.5	173.97
80.9	67.7	167.4	1	31.85	65.91	149.28
73.5	66	181.1	1	28.94	71.3	145.53
70.9	68.2	177	1	27.91	69.69	150.38
76.1	63.9	174.5	1	29.96	68.7	140.9
81	72	177.5	1	31.89	69.88	158.76
72	56.8	170.5	1	28.35	67.13	125.24
76.8	74.5	182.4	1	30.24	71.81	164.27
86	90.9	197.1	1	33.86	77.6	200.43
98.5	93	180.1	1	38.78	70.91	205.07
79	80.9	175.5	1	31.1	69.09	178.38
77.5	72.7	180.6	1	30.51	71.1	160.3
75.2	68	184.4	1	29.61	72.6	149.94
82	70.9	175.5	1	32.28	69.09	156.33
79.6	72.5	180.6	1	31.34	71.1	159.86
75.2	72.5	177	1	29.61	69.69	159.86
88.6	83.4	177.1	1	34.88	69.72	183.9
81.5	75.5	181.6	1	32.09	71.5	166.48
79.9	73	176.5	1	31.46	69.49	160.97
73.5	70.2	175	1	28.94	68.9	154.79
80.3	73.4	174	1	31.61	68.5	161.85
81.5	70.5	165.1	1	32.09	65	155.45
74	68.9	177	1	29.13	69.69	151.92
104	102.3	192	1	40.94	75.59	225.57
76.2	68.4	176.5	1	30	69.49	150.82
76.5	65.9	169.4	1	30.12	66.69	145.31
81	75.7	182.1	1	31.89	71.69	166.92
88.8	84.5	179.8	1	34.96	70.79	186.32
94	87.7	175.3	1	37.01	69.02	193.38
83.4	86.4	184.9	1	32.83	72.8	190.51
77	73.2	177.3	1	30.31	69.8	161.41
75.4	53.9	167.4	1	29.69	65.91	118.85
80.3	72	178.1	1	31.61	70.12	158.76
68	55.5	168.9	1	26.77	66.5	122.38
80.6	58.4	157.2	1	31.73	61.89	128.77
88.6	83.2	180.3	1	34.88	70.98	183.46
81.1	72.7	170.2	1	31.93	67.01	160.3
70.8	64.1	177.8	1	27.87	70	141.34
73.3	72.3	172.7	1	28.86	67.99	159.42
75.9	65	165.1	1	29.88	65	143.33
86.2	86.4	186.7	1	33.94	73.5	190.51
75	65	165.1	1	29.53	65	143.33
101	88.6	174	1	39.76	68.5	195.36
90	84.1	175.3	1	35.43	69.02	185.44
75	66.8	185.4	1	29.53	72.99	147.29
75.9	75.5	177.8	1	29.88	70	166.48
96	93.2	180.3	1	37.8	70.98	205.51
84	82.7	180.3	1	33.07	70.98	182.35
67.1	58	177.8	1	26.42	70	127.89
82.5	79.5	177.8	1	32.48	70	175.3
83.7	78.6	177.8	1	32.95	70	173.31
76.7	71.8	177.8	1	30.2	70	158.32
105.2	116.4	177.8	1	41.42	70	256.66
90.6	72.2	163.8	1	35.67	64.49	159.2
85.7	83.6	188	1	33.74	74.02	184.34
82.5	85.5	198.1	1	32.48	77.99	188.53
94.7	90.9	175.3	1	37.28	69.02	200.43
105.2	85.9	166.4	1	41.42	65.51	189.41
86	89.1	190.5	1	33.86	75	196.47
90.9	75	166.4	1	35.79	65.51	165.38
92.4	77.7	177.8	1	36.38	70	171.33
96.5	86.4	179.7	1	37.99	70.75	190.51
98.4	90.9	172.7	1	38.74	67.99	200.43
76.7	73.6	190.5	1	30.2	75	162.29
94.8	76.4	185.4	1	37.32	72.99	168.46
80.1	69.1	168.9	1	31.54	66.5	152.37
97.4	84.5	167.6	1	38.35	65.98	186.32
73.7	64.5	175.3	1	29.02	69.02	142.22
76.1	69.1	170.2	1	29.96	67.01	152.37
95.6	108.6	190.5	1	37.64	75	239.46
101	86.4	177.8	1	39.76	70	190.51
84.5	80.9	190.5	1	33.27	75	178.38
98	87.7	177.8	1	38.58	70	193.38
101.6	94.5	184.2	1	40	72.52	208.37
87.8	80.2	176.5	1	34.57	69.49	176.84
80	72	177.8	1	31.5	70	158.76
81.8	71.4	180.3	1	32.2	70.98	157.44
84.4	72.7	171.4	1	33.23	67.48	160.3
85	84.1	172.7	1	33.46	67.99	185.44
90	76.8	172.7	1	35.43	67.99	169.34
72.9	63.6	177.8	1	28.7	70	140.24
81	80.9	177.8	1	31.89	70	178.38
86.5	80.9	182.9	1	34.06	72.01	178.38
93.9	85.5	170.2	1	36.97	67.01	188.53
77	68.6	167.6	1	30.31	65.98	151.26
75	67.7	175.3	1	29.53	69.02	149.28
80.6	66.4	165.1	1	31.73	65	146.41
100.5	102.3	185.4	1	39.57	72.99	225.57
81.2	70.5	181.6	1	31.97	71.5	155.45
103.4	95.9	172.7	1	40.71	67.99	211.46
90.3	84.1	190.5	1	35.55	75	185.44
98	87.3	179.1	1	38.58	70.51	192.5
86.5	71.8	175.3	1	34.06	69.02	158.32
77.9	65.9	170.2	1	30.67	67.01	145.31
89.1	95.9	193	1	35.08	75.98	211.46
93.9	91.4	171.4	1	36.97	67.48	201.54
85.3	81.8	177.8	1	33.58	70	180.37
98.5	96.8	177.8	1	38.78	70	213.44
79.5	69.1	167.6	1	31.3	65.98	152.37
94.9	82.7	167.6	1	37.36	65.98	182.35
76.5	75.5	180.3	1	30.12	70.98	166.48
88.4	79.5	182.9	1	34.8	72.01	175.3
84.2	73.6	176.5	1	33.15	69.49	162.29
87.6	91.8	186.7	1	34.49	73.5	202.42
83.7	84.1	188	1	32.95	74.02	185.44
92.1	85.9	188	1	36.26	74.02	189.41
89.9	81.8	177.8	1	35.39	70	180.37
88.7	82.5	174	1	34.92	68.5	181.91
83.9	80.5	177.8	1	33.03	70	177.5
79.5	70	171.4	1	31.3	67.48	154.35
84.5	81.8	185.4	1	33.27	72.99	180.37
89.2	84.1	185.4	1	35.12	72.99	185.44
90.7	90.5	188	1	35.71	74.02	199.55
88.8	91.4	188	1	34.96	74.02	201.54
103.6	89.1	182.9	1	40.79	72.01	196.47
98.5	85	176.5	1	38.78	69.49	187.43
82.9	69.1	175.3	1	32.64	69.02	152.37
90.5	73.6	175.3	1	35.63	69.02	162.29
84.5	80.5	188	1	33.27	74.02	177.5
86	82.7	188	1	33.86	74.02	182.35
84.2	86.4	175.3	1	33.15	69.02	190.51
85.7	67.7	170.5	1	33.74	67.13	149.28
112.1	92.7	179.1	1	44.13	70.51	204.4
99.7	93.6	177.8	1	39.25	70	206.39
84.7	70.9	175.3	1	33.35	69.02	156.33
80.3	75	182.9	1	31.61	72.01	165.38
98.6	93.2	170.8	1	38.82	67.24	205.51
90	93.2	188	1	35.43	74.02	205.51
86.6	77.7	180.3	1	34.09	70.98	171.33
80.2	61.4	177.8	1	31.57	70	135.39
109.2	94.1	185.4	1	42.99	72.99	207.49
88.4	75	168.9	1	34.8	66.5	165.38
81	83.6	185.4	1	31.89	72.99	184.34
88.8	85.5	180.3	1	34.96	70.98	188.53
78.1	73.9	174	1	30.75	68.5	162.95
81.5	66.8	167.6	1	32.09	65.98	147.29
87.6	87.3	182.9	1	34.49	72.01	192.5
92.5	72.3	160	1	36.42	62.99	159.42
97	88.6	180.3	1	38.19	70.98	195.36
82	75.5	167.6	1	32.28	65.98	166.48
99.5	101.4	186.7	1	39.17	73.5	223.59
93.8	91.1	175.3	1	36.93	69.02	200.88
79.1	67.3	175.3	1	31.14	69.02	148.4
85.8	77.7	175.9	1	33.78	69.25	171.33
90.8	81.8	175.3	1	35.75	69.02	180.37
85.4	75.5	179.1	1	33.62	70.51	166.48
91.6	84.5	181.6	1	36.06	71.5	186.32
79.7	76.6	177.8	1	31.38	70	168.9
86.1	85	182.9	1	33.9	72.01	187.43
113.2	102.5	177.8	1	44.57	70	226.01
79.5	77.3	184.2	1	31.3	72.52	170.45
85.4	71.8	179.1	1	33.62	70.51	158.32
97.9	87.9	176.5	1	38.54	69.49	193.82
94.7	94.3	188	1	37.28	74.02	207.93
86.1	70.9	174	1	33.9	68.5	156.33
84.9	64.5	167.6	1	33.43	65.98	142.22
92.2	77.3	170.2	1	36.3	67.01	170.45
83.7	72.3	167.6	1	32.95	65.98	159.42
97.8	87.3	188	1	38.5	74.02	192.5
98.6	80	174	1	38.82	68.5	176.4
89.5	82.3	176.5	1	35.24	69.49	181.47
82.9	73.6	180.3	1	32.64	70.98	162.29
90.1	74.1	167.6	1	35.47	65.98	163.39
78.9	85.9	188	1	31.06	74.02	189.41
80.7	73.2	180.3	1	31.77	70.98	161.41
94.3	76.3	167.6	1	37.13	65.98	168.24
70.2	65.9	183	1	27.64	72.05	145.31
83.6	90.9	183	1	32.91	72.05	200.43
91.9	89.1	179.1	1	36.18	70.51	196.47
71.8	62.3	170.2	1	28.27	67.01	137.37
85	82.7	177.8	1	33.46	70	182.35
85.7	79.1	179.1	1	33.74	70.51	174.42
96.5	98.2	190.5	1	37.99	75	216.53
82.4	84.1	177.8	1	32.44	70	185.44
86.3	83.2	180.3	1	33.98	70.98	183.46
83.2	83.2	180.3	1	32.76	70.98	183.46
66.5	51.6	161.2	0	26.18	63.46	113.78
61.5	59	167.5	0	24.21	65.94	130.1
61.2	49.2	159.5	0	24.09	62.8	108.49
78	63	157	0	30.71	61.81	138.92
70.5	53.6	155.8	0	27.76	61.34	118.19
66.5	59	170	0	26.18	66.93	130.1
58	47.6	159.1	0	22.83	62.64	104.96
74.5	69.8	166	0	29.33	65.35	153.91
73.5	66.8	176.2	0	28.94	69.37	147.29
90.5	75.2	160.2	0	35.63	63.07	165.82
66.5	55.2	172.5	0	26.18	67.91	121.72
61	54.2	170.9	0	24.02	67.28	119.51
69.5	62.5	172.9	0	27.36	68.07	137.81
62	42	153.4	0	24.41	60.39	92.61
63.4	50	160	0	24.96	62.99	110.25
71	49.8	147.2	0	27.95	57.95	109.81
59	49.2	168.2	0	23.23	66.22	108.49
74	73.2	175	0	29.13	68.9	161.41
60.5	47.8	157	0	23.82	61.81	105.4
75	68.8	167.6	0	29.53	65.98	151.7
65	50.6	159.5	0	25.59	62.8	111.57
82.2	82.5	175	0	32.36	68.9	181.91
70.2	57.2	166.8	0	27.64	65.67	126.13
85	87.8	176.5	0	33.46	69.49	193.6
75	72.8	170.2	0	29.53	67.01	160.52
63	54.5	174	0	24.8	68.5	120.17
70	59.8	173	0	27.56	68.11	131.86
72.6	67.3	179.9	0	28.58	70.83	148.4
78.7	67.8	170.5	0	30.98	67.13	149.5
61	47	160	0	24.02	62.99	103.64
64.2	46.2	154.4	0	25.28	60.79	101.87
63.1	55	162	0	24.84	63.78	121.28
85	83	176.5	0	33.46	69.49	183.02
66	54.4	160	0	25.98	62.99	119.95
65	45.8	152	0	25.59	59.84	100.99
63.2	53.6	162.1	0	24.88	63.82	118.19
83.6	73.2	170	0	32.91	66.93	161.41
68	52.1	160.2	0	26.77	63.07	114.88
75.7	67.9	161.3	0	29.8	63.5	149.72
65.5	56.6	166.4	0	25.79	65.51	124.8
66.9	62.3	168.9	0	26.34	66.5	137.37
67.9	58.5	163.8	0	26.73	64.49	128.99
67.8	54.5	167.6	0	26.69	65.98	120.17
63.2	50.2	160	0	24.88	62.99	110.69
73.1	60.3	161.3	0	28.78	63.5	132.96
65.3	58.3	167.6	0	25.71	65.98	128.55
65.6	56.2	165.1	0	25.83	65	123.92
62.7	50.2	160	0	24.69	62.99	110.69
81.8	72.9	170	0	32.2	66.93	160.74
72.1	59.8	157.5	0	28.39	62.01	131.86
68.6	61	167.6	0	27.01	65.98	134.51
80	69.1	160.7	0	31.5	63.27	152.37
64.9	55.9	163.2	0	25.55	64.25	123.26
